dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
processed,290,63,5,0,0,0,0,0,0,0,3,0
processed,407,65,1,0,0,0,0,0,0,0,6,0
processed,610,121,16,0,0,0,0,0,0,0,17,0
processed,210,42,2,0,0,0,0,0,0,0,2,0
processed,425,83,5,0,0,0,0,0,0,1,4,1
processed,274,49,3,0,0,0,0,0,0,0,5,0
processed,442,98,9,0,0,0,0,0,0,0,6,0
processed,81,13,2,0,0,0,0,0,0,0,0,0
processed,437,84,9,0,0,0,0,0,0,0,7,0
processed,79,13,2,0,0,0,0,0,0,0,0,0
processed,748,160,6,1,0,0,0,0,0,5,14,0
processed,490,99,5,0,0,0,0,0,0,0,6,0
processed,1936,392,30,0,0,0,0,0,0,0,33,0
processed,28,6,1,0,0,0,0,0,0,0,1,0
processed,539,128,5,0,0,0,0,0,0,7,12,0
processed,29,5,1,0,0,0,0,0,0,0,0,0
processed,104,17,1,0,0,0,0,0,0,0,2,1
processed,112,23,3,0,0,0,0,0,0,0,2,0
processed,259,47,3,0,0,0,0,0,0,0,3,0
processed,180,36,2,1,0,0,0,0,0,0,6,0
processed,117,27,3,0,0,0,0,0,0,0,1,0
processed,177,34,1,0,0,0,0,0,0,0,3,0
processed,831,162,7,0,0,0,0,0,0,2,11,0
processed,162,18,1,3,0,0,0,0,0,0,2,0
processed,157,25,3,0,0,0,0,0,0,0,1,0
processed,292,54,2,0,0,0,0,0,0,0,4,0
processed,141,28,5,0,0,0,0,0,0,1,2,0
processed,1202,241,23,0,0,0,0,0,0,4,10,1
processed,560,117,1,0,0,0,0,0,0,0,13,0
processed,490,92,7,0,0,0,0,0,0,1,8,3
processed,543,125,10,0,0,0,0,0,0,0,9,0
processed,923,189,9,0,0,0,0,0,0,1,14,0
processed,572,112,6,2,0,0,0,0,0,1,8,1
processed,90,12,1,0,0,0,0,0,0,0,0,0
processed,311,66,3,0,0,0,0,0,0,0,5,0
processed,132,26,2,0,0,0,0,0,0,1,1,0
