dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
raw,259,57,4,0,0,0,0,0,0,1,8,1
raw,143,32,3,0,0,0,0,0,0,0,3,2
raw,298,71,3,1,0,0,0,0,0,1,11,2
raw,273,69,5,0,0,0,0,0,0,2,8,0
raw,35,9,1,0,0,0,0,0,0,0,1,0
raw,402,89,10,0,0,0,0,0,0,0,11,3
raw,152,32,2,0,0,0,0,0,0,0,4,1
raw,96,21,1,1,0,0,0,0,0,0,1,0
raw,503,122,9,0,0,0,0,0,0,1,17,5
raw,83,19,1,0,0,0,0,0,0,0,3,0
raw,339,67,1,0,0,0,0,0,1,0,10,0
raw,257,60,6,0,0,0,0,0,0,2,13,4
raw,1816,390,14,0,2,0,0,0,1,0,54,4
raw,607,139,5,0,0,0,0,0,0,0,26,2
raw,450,102,4,0,0,0,0,0,0,1,14,0
raw,239,61,2,0,0,0,0,0,3,4,17,1
raw,309,72,2,2,0,0,0,0,0,3,8,1
raw,141,29,2,0,0,0,0,0,0,1,3,1
raw,82,22,3,0,0,0,0,0,0,0,2,0
raw,1103,265,14,2,1,0,0,0,0,4,33,3
raw,405,97,5,1,0,0,0,0,0,3,11,3
raw,133,29,3,0,0,0,0,0,0,0,3,1
raw,265,58,4,0,1,0,0,0,0,0,8,2
raw,196,47,3,0,0,0,0,0,0,1,8,0
raw,342,77,6,0,0,0,0,0,0,1,13,1
raw,161,31,2,0,0,0,0,0,0,0,8,0
raw,537,125,6,0,0,0,0,0,3,0,12,3
raw,245,58,4,0,1,0,0,0,1,1,6,1
raw,81,21,1,0,1,0,0,0,0,1,2,1
raw,467,105,6,0,0,0,0,0,0,2,12,0
raw,213,45,5,0,1,0,0,0,0,1,7,5
raw,664,155,7,4,0,0,0,0,0,0,20,1
raw,654,154,11,0,0,0,0,0,0,0,18,3
raw,262,56,3,1,0,0,0,0,0,0,14,2
raw,498,106,7,1,1,0,0,0,1,0,7,1
raw,286,59,5,0,0,0,0,0,0,0,7,0
raw,602,137,7,0,1,0,0,0,1,3,28,0
raw,95,24,2,1,0,0,0,0,1,0,1,2
raw,42,12,1,1,0,0,0,0,0,0,0,1
raw,185,45,3,0,0,0,0,0,1,0,7,0
raw,764,174,7,0,0,0,0,0,0,4,19,2
raw,195,45,4,0,0,0,0,0,0,4,7,1
raw,184,44,1,0,0,0,0,0,0,0,6,0
raw,24,4,1,1,0,0,0,0,0,0,1,1
raw,922,212,8,0,0,0,0,0,3,1,31,1
raw,514,125,11,0,0,0,0,0,1,2,22,0
raw,1006,221,14,18,1,0,0,1,5,0,33,4
raw,146,34,1,0,0,0,0,0,0,0,3,1
raw,240,48,3,0,1,0,0,0,0,2,11,2
raw,501,110,7,0,0,0,0,0,0,0,16,2
raw,371,84,6,0,0,0,0,0,0,0,10,3
raw,555,133,5,4,0,0,0,0,0,1,15,6
raw,162,40,4,0,0,0,0,0,0,0,9,1
raw,138,32,3,0,0,0,0,0,0,0,9,0
raw,32,9,2,0,0,0,0,0,0,0,1,0
raw,1068,245,11,6,1,0,0,0,2,4,23,9
raw,749,152,5,0,0,0,0,0,0,7,27,4
raw,462,104,2,0,0,0,0,0,1,0,12,1
raw,139,34,1,0,1,0,0,0,0,0,1,1
raw,263,60,1,0,3,0,0,0,3,2,8,0
raw,499,102,6,0,0,0,0,0,0,0,11,1
raw,99,22,1,0,0,0,0,0,0,1,3,0
raw,1673,382,13,0,0,0,0,0,0,10,57,1
raw,518,102,4,0,1,0,0,0,0,0,41,0
raw,743,166,13,0,0,0,0,0,1,7,19,2
raw,405,76,3,0,2,0,0,0,0,1,11,1
raw,537,119,8,0,0,0,0,0,1,3,16,5
raw,357,77,6,3,0,0,0,0,0,0,11,2
raw,483,113,4,0,0,0,0,0,0,5,16,1
raw,442,99,4,0,0,0,0,0,0,1,16,2
raw,1253,295,8,0,3,0,0,0,1,0,45,3
raw,124,31,1,0,0,0,0,0,0,0,5,0
raw,4,1,1,0,0,0,0,0,0,0,0,0
raw,195,47,3,0,0,0,0,0,0,1,4,0
